gene	KO2_CTTGTA_KO_EGL_6	KO3_TTAGGC_KO_EGL_1	KO4_GCCAAT_KO_EGL_3	KO5_TGACCA_KO_EGL_2	KO6_GATCAG_KO_EGL_4	KO8_TAGCTT_KO_EGL_5	WT1_ACTTGA_WT_EGL_5	WT2_ATCACG_WT_EGL_1	WT3_GGCTAC_WT_EGL_6	WT5_CAGATC_WT_EGL_4	WT6_ACAGTG_WT_EGL_3	WT7_CGATGT_WT_EGL_2
1	__alignment_not_unique	24366521	27693995	22738260	26012339	24911834	38400881	31538884	24625012	24364731	26931615	17411728	35327607
2	__ambiguous	976975	995065	1013079	1075785	1000864	1457262	1226554	803980	1059928	1115222	697125	1350744
3	__no_feature	1826596	1710679	1603608	1708850	1669496	2567223	1909490	1301779	1943263	2059719	1125651	1962976
4	__not_aligned	0	0	0	0	0	0	0	0	0	0	0	0
5	__too_low_aQual	0	0	0	0	0	0	0	0	0	0	0	0
6	ENSMUSG00000000003.15	0	0	0	0	0	0	0	0	0	0	0	0
7	ENSMUSG00000000028.14	317	350	435	579	316	432	545	245	371	506	419	621
8	ENSMUSG00000000031.16	66	268	66	804	207	46	137	336	193	69	60	112
9	ENSMUSG00000000037.16	233	262	184	157	162	301	229	311	186	139	94	176
10	ENSMUSG00000000049.11	0	0	0	0	0	0	1	1	0	0	2	0
11	ENSMUSG00000000056.7	1233	1121	918	1220	1178	1761	1656	991	1477	1543	915	1835
12	ENSMUSG00000000058.6	188	272	60	132	76	200	137	268	154	99	57	120
13	ENSMUSG00000000078.7	1054	715	866	791	787	1005	1171	595	776	986	536	916
14	ENSMUSG00000000085.16	423	263	600	615	406	380	663	193	375	457	387	622
15	ENSMUSG00000000088.7	1360	1418	1795	2022	1616	2066	2760	1275	1667	1926	1456	2545
16	ENSMUSG00000000093.6	16	8	1	13	12	12	27	17	15	10	7	27
17	ENSMUSG00000000094.12	0	2	22	3	0	1	0	1	2	1	7	6
18	ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0
19	ENSMUSG00000000120.6	312	299	532	494	313	402	493	153	353	398	494	734
20	ENSMUSG00000000125.5	15	16	35	39	20	44	47	26	29	19	25	29
